source,target,weight
48161724,43956475,1.0
48161724,9088025,0.875
48161724,14851807,0.125
48161724,6480345,1.0
48161724,671378,1.0
48161724,22204295,1.0
48161724,10627238,1.0
48161724,8446573,1.0
48161724,1434517,1.0
48161724,48161724,1.0
48161724,103165,0.875
48161724,1431984,0.062
48161724,38240,0.062
48161724,56095525,1.0
48161724,19634224,0.963
48161724,22736026,0.007
48161724,30883354,0.007
48161724,7278304,0.003
48161724,5185660,0.003
48161724,11352223,0.003
48161724,2708346,0.003
48161724,15703818,0.003
48161724,16746759,0.003
48161724,9417680,0.003
